面數,核發日期-有效期限,溫泉業者,營業處所,泉質類別,核發機關
130,1050125,景泉浴室北投分店,臺北市北投區中山路28之7號地下2樓,硫酸鹽氯化物泉,臺北市政府
131,1020503,龜丹溫泉體驗池,臺南市楠西區龜丹段31及31-4地號,碳酸氫鹽泉,臺南市政府
132,1020503,龜丹休閒體驗農園,臺南市楠西區龜丹里59-6樓,碳酸氫鹽泉,臺南市政府
133,1020508,雙魚座華心別館,臺北市北投區溫泉路銀光巷4之2號,硫磺泉,臺北市政府
134,1020513,金湯溫泉會館,新北市萬里區萬里加投197之5號2樓,酸性-鐵-氯化物硫酸鹽泉,新北市政府
135,1020605,瑞穗溫泉旅社,花蓮縣萬榮鄉紅葉村1鄰紅葉23號,碳酸氫鹽泉,花蓮縣政府
136,1020618,阿湯哥民宿,苗栗縣泰安鄉錦水村橫龍山72-1號,碳酸氫鹽泉,苗栗縣政府
137,1020618,湯悅溫泉會館,苗栗縣泰安鄉錦水村橫龍山45號,碳酸氫鹽泉,苗栗縣政府
138,1020628,湯語?泉民宿,新北市金山區中華路177巷35號1樓,酸性-氯化物硫酸鹽泉,新北市政府
139,1020630,中崙澐水溪溫泉公園,嘉義縣中埔鄉中崙村19-1號,氯化物碳酸氫鹽泉,嘉義縣政府
140,1020630,桃園福容大飯店,桃園市桃園區大興西路一段200號,氯化物碳酸氫鹽泉,桃園市政府
141,1020704,彰化縣農會東勢林場,臺中市東勢區勢林街6之1號,碳酸氫鹽泉,臺中市政府
142,1020710,大板根渡假酒店,新北市三峽區插角里插角79號,碳酸氫鹽泉,新北市政府
143,1020722,水田園農莊民宿,新北市萬里區大鵬里萬里加投45-9號,碳酸氫鹽泉,新北市政府
144,1020724,牡丹鄉旭海溫泉公共浴室,屏東縣牡丹鄉旭海村旭海路97號,碳酸氫鹽泉,屏東縣政府
145,1020801,知本警光山莊,臺東縣卑南鄉溫泉村龍泉路37號,碳酸氫鹽泉,臺東縣政府
146,1020807,尚登意民宿,新北市萬里區萬里加投68之5號,酸性-氯化物泉,新北市政府
147,1020815,情人溫泉民宿,新北市烏來區溫泉街83號,碳酸氫鹽泉,新北市政府
148,1020815,龍門溫泉民宿,新北市烏來區溫泉街116號,碳酸氫鹽泉,新北市政府
149,1020820,成都溫泉旅館,宜蘭縣礁溪鄉忠孝路5號1-4樓,碳酸氫鹽泉,宜蘭縣政府
150,1020820,金華大旅社,宜蘭縣蘇澳鎮冷泉路1號,二氧化碳泉,宜蘭縣政府
151,1020822,朝日民宿,新竹縣尖石鄉錦屏村4鄰32號,碳酸氫鹽泉,新竹縣政府
152,1020827,汶山大飯店,臺中市和平區博愛里東關路一段溫泉巷16號,碳酸氫鹽泉,臺中市政府
153,1020827,明治溫泉大旅社,臺中市和平區博愛里東關路一段溫泉巷17號,碳酸氫鹽泉,臺中市政府
154,1020828,火炎山遊樂區,苗栗縣苑裡鎮石鎮里1號,碳酸氫鹽泉,苗栗縣政府
155,1020829,水舞谷關溫泉餐廳浴室,臺中市和平區博愛里東關路一段115號一樓,碳酸氫鹽泉,臺中市政府
156,1020910,萬金龍溫泉民宿,新北市萬里區大鵬里萬里加投45之6號,單純泉,新北市政府
157,1020910,有愛浴池,宜蘭縣礁溪鄉德陽村仁愛路134號,碳酸氫鹽泉,宜蘭縣政府
158,1020913,萬里仙境溫泉會館,新北市萬里區大鵬里萬里加投197之3號,氯化物硫酸鹽泉,新北市政府
159,1020914,天隆大飯店,宜蘭縣礁溪鄉玉石村礁溪路五段121號,碳酸氫鹽泉,宜蘭縣政府
160,1020918,名人旅館,宜蘭縣礁溪鄉德陽村德陽路136號,碳酸氫鹽泉,宜蘭縣政府
161,1020918,礁溪鄉公共造產溫泉游泳池,宜蘭縣礁溪鄉玉石村礁溪路六段13巷2號,碳酸氫鹽泉,宜蘭縣政府
162,1020923,富源森林遊樂區,花蓮縣瑞穗鄉富源村廣東路161號,碳酸氫鹽泉,花蓮縣政府
163,1020926,川湯溫泉養生會館,宜蘭縣礁溪鄉德陽村中山路二段218號1-3樓,碳酸氫鹽泉,宜蘭縣政府
164,1020926,三光旅社,宜蘭縣礁溪鄉德陽村礁溪路五段85號,碳酸氫鹽泉,宜蘭縣政府
165,1020926,川湯春天溫泉飯店,宜蘭縣礁溪鄉德陽村德陽路43號1-8樓,碳酸氫鹽泉,宜蘭縣政府
166,1020926,龍泉溫泉客棧,宜蘭縣礁溪鄉玉石村礁溪路六段10號,碳酸氫鹽泉,宜蘭縣政府
167,1020926,夢芝鄉旅社,宜蘭縣礁溪鄉德陽村德陽路96號1-5樓,碳酸氫鹽泉,宜蘭縣政府
168,1020926,麗翔大飯店,宜蘭縣礁溪鄉玉石村礁溪路六段6號,碳酸氫鹽泉,宜蘭縣政府
169,1020927,河岸民宿,新竹縣橫山鄉內灣村中山街2段2號,碳酸氫鹽泉,新竹縣政府
170,1020927,華城溫泉旅店,宜蘭縣礁溪鄉礁溪路六段12號,碳酸氫鹽泉,宜蘭縣政府
171,1020930,光明浴池,宜蘭縣礁溪鄉德陽村德陽路88號,碳酸氫鹽泉,宜蘭縣政府
172,1021001,明光旅館,宜蘭縣礁溪鄉德陽村德陽路70號,碳酸氫鹽泉,宜蘭縣政府
173,1021001,晏林旅館,宜蘭縣礁溪鄉德陽村德陽路131號,碳酸氫鹽泉,宜蘭縣政府
