面數,核發日期-有效期限,溫泉業者,營業處所,泉質類別,核發機關
288,1030626,山水妍溫泉會館,宜蘭縣礁溪鄉仁愛路50號,碳酸氫鹽泉,宜蘭縣政府
289,1030711,新都大飯店,臺東縣卑南鄉溫泉村龍泉路61號,碳酸氫鹽泉,臺東縣政府
290,1030722,日月農莊,臺北市士林區竹仔湖路211巷8號,酸性-鐵-硫磺-硫酸鹽氯化物泉,臺北市政府
291,1030722,泉鄉風華休閒會館,宜蘭縣礁溪鄉德陽路95號,碳酸氫鹽泉,宜蘭縣政府
292,1030731,烏來泰雅那魯灣溫泉渡假飯店,新北市烏來區瀑布路33號,碳酸氫鹽泉,新北市政府
293,1030731,巨龍山莊,新北市烏來區堰堤85號,碳酸氫鹽泉,新北市政府
294,1030731,國際岩湯,新北市烏來區烏來街22號,碳酸氫鹽泉,新北市政府
295,1030807,媞閣休閒民宿,新北市萬里區磺潭里員潭54號,硫磺-硫酸鹽泉,新北市政府
296,1030813,友群溫泉旅館,宜蘭縣礁溪鄉德陽村信義路32號,碳酸氫鹽泉,宜蘭縣政府
297,1030819,奇峰石溫泉山莊,新北市金山區重和里2鄰林口28之3號,酸性-硫酸鹽泉,新北市政府
298,1030821,景祥溫泉民宿,南投縣信義鄉東埔村開高巷62號,碳酸氫鹽泉,南投縣政府
299,1030821,真和園,南投縣信義鄉東埔村開高巷125之2號,碳酸氫鹽泉,南投縣政府
,1030821-修正函,,,,
300,1030821,蟬說雅築,南投縣信義鄉東埔村開高巷30號,硫磺－碳酸氫鹽泉,南投縣政府
301,1030822,沐舍溫泉渡假酒店,新北市萬里區萬里加投166之1號,酸性－氯化物硫酸鹽泉,新北市政府
302,1030822,礁溪溫泉公園－森林風呂,宜蘭縣礁溪鄉公園路70巷60號,碳酸氫鹽泉,宜蘭縣政府
303,1030827,源來如池,宜蘭縣礁溪鄉德陽路68巷8號,碳酸氫鹽泉,宜蘭縣政府
304,1030827,泉湯溫泉商務旅館,宜蘭縣礁溪鄉大忠路80號,碳酸氫鹽泉,宜蘭縣政府
305,1030915,不老溫泉渡假村,高雄市六龜區新發里新開路82號,碳酸氫鹽泉,高雄市政府
306,1030918,麒麟太子大飯店,宜蘭縣礁溪鄉德陽陽村礁溪路5段67號,碳酸氫鹽泉,宜蘭縣政府
307,1030925,統一谷關渡假村,臺中市和平區博愛里東關路一段188號,碳酸氫鹽泉,臺中市政府
308,1030926,勝華大飯店,南投縣信義鄉東埔村開高巷60號,碳酸氫鹽泉,南投縣政府
309,1031015,答故溫泉,新北市烏來區新烏路5段163巷1號,碳酸氫鹽泉,新北市政府
310,1031016,騰龍山莊,苗栗縣泰安鄉錦水村橫龍山5號,碳酸氫鹽泉,苗栗縣政府
311,1031021,帝綸溫泉大飯店,南投縣信義鄉東埔村開高巷86號、86-1號,碳酸氫鹽泉,南投縣政府
312,1031021,沙里仙民宿,南投縣信義鄉東埔村開高巷136-1號,碳酸氫鹽泉,南投縣政府
313,1031029,龍谷大飯店,臺中市和平區博愛里東關路一段138號,碳酸氫鹽泉,臺中市政府
314,1031029,泓泉溫泉渡假村,臺東縣卑南鄉溫泉村龍泉路139巷1、2號,碳酸氫鹽泉,臺東縣政府
315,1031202,庭園民宿,南投縣信義鄉東埔村開高巷136-2號,碳酸氫鹽泉,南投縣政府
316,1040615-1061214,金湯川溫泉旅館,新北市淡水區義山路一段180號及濱海路一段221號,氯化物碳酸氫鹽泉,新北市政府
317,1031219,北投老爺酒店,臺北市北投區中和街2號,酸性-硫磺泉,臺北市政府
318,1031230,蜜月四季餐旅購有限公司知本金聯世紀酒店,臺東縣卑南鄉溫泉村龍泉路30號,碳酸氫鹽泉,臺東縣政府
319,1031231,愛琴海太平洋溫泉會館,新北市萬里區海景路1號1樓、2樓之1至之8、3樓之1至之8、4樓之1至之11、5樓之1至之11、6樓之1至之11、7樓之1至之11、8樓之1至之11,氯化物泉,新北市政府
320,1040109,馥麗大飯店,南投縣魚池鄉水社村中山路250-1、250-2號,碳酸氫鹽泉,南投縣政府
321,1040115,瑪懷舒溫泉館(瑪懷舒民宿),苗栗縣泰安鄉錦水村圓墩39-6號,碳酸氫鹽泉,苗栗縣政府
322,1040116,自然風溫泉會館,宜蘭縣礁溪鄉忠孝路97巷26及28號,碳酸氫鹽泉,宜蘭縣政府
323,1040121,富泰大飯店,臺東縣卑南鄉龍泉路35號,碳酸氫鹽泉,臺東縣政府
324,1040127,高野大飯店,臺東縣卑南鄉龍泉路32號,碳酸氫鹽泉,臺東縣政府
325,1040203,亞諾時尚戀館,宜蘭縣礁溪鄉德陽村仁愛路3號,碳酸氫鹽泉,宜蘭縣政府
326,1040313,宏宜大飯店,臺東縣卑南鄉溫泉村龍泉路57號,碳酸氫鹽泉,臺東縣政府
327,1040319,一田屋溫泉民宿,臺東縣太麻里鄉金崙村溫泉17鄰溫泉34-4號,碳酸氫鹽泉,臺東縣政府
328,1040323,靜界會館有限公司,宜蘭縣礁溪鄉玉石村公園路70巷39弄16、18、20、22號,碳酸氫鹽泉,宜蘭縣政府
329,1040402,綠動湯泉原宿,宜蘭縣礁溪鄉玉石村公園路85號,碳酸氫鹽泉,宜蘭縣政府
330,1040410,捷絲旅礁溪館,宜蘭縣礁溪鄉德陽村德陽路24巷8、10號,碳酸氫鹽泉,宜蘭縣政府
331,1040518,日月民宿,新北市烏來曲烏來街85巷1號,碳酸氫鹽泉,新北市政府
332,1040525,德恩農園,台南市楠西區龜丹里5鄰59-2號,碳酸氫鹽泉,臺南市政府
333,1040528,川酈溫泉渡假休閒旅館,屏東縣車城鄉溫泉村文化路4-1號,碳酸氫鹽泉,屏東縣政府
334,1031223,彰化縣政府,彰化縣社頭鄉山腳路一段268號(清水岩溫泉),碳酸氫鹽泉,彰化縣政府
335,1040620-1070619,伊豆商店,新北市烏來區溫泉街72號,碳酸氫鹽泉,新北市政府
336,1040617-1070616,東台溫泉飯店,臺東縣卑南鄉溫泉村龍泉路147號,碳酸氫鹽泉,臺東縣政府
337,1040728-1070727,威尼斯國際事業股份有限公司,新竹縣橫山鄉油羅段650-75地號,碳酸氫鹽泉,新竹縣政府
338,1040814-1070813,瑪莉休閒農莊,南投縣仁愛鄉春陽村虎門巷100號,碳酸氫鹽泉,南投縣政府
339,1040815-1070814,河灣渡假村,新北市平溪區十分街273之1號2樓,碳酸氫鹽泉,新北市政府
340,1040905-1070904,白水世界民宿,新北市烏來區烏來里環山路112號1樓,碳酸氫鹽泉,新北市政府
341,1040909-1070908,海灣國際開發股份有限公司,台中市北屯區東山路二段151之2號,碳酸氫鹽泉,臺中市政府
342,1040717-1070717,史塔瑞麗 佧美‧奧之湯 溫泉旅館,宜蘭縣礁溪鄉玉石村健康依接116號,碳酸氫鹽泉,宜蘭縣政府
343,1041002-1071002,9號溫泉旅店,宜蘭縣礁溪鄉溫泉路85號4-6號,碳酸氫鹽泉,宜蘭縣政府
344,1040904-1070903,富野溫泉休閒會館,臺東縣卑南村溫泉鄉龍泉路16號,碳酸氫鹽泉,臺東縣政府
345,1041022-1071021,溪畔溫泉,花蓮縣玉里鎮樂合里溫泉37號,氯化物硫酸鹽泉,花蓮縣政府
346,1041028-1071027,福容大飯店福隆,新北市貢寮區福隆里福隆街41號,氯化物硫酸鹽泉,新北市政府
347,1041201-1071130,松邑莊園民宿,花蓮縣瑞穗鄉泉路三段2巷37號,氯化物硫酸鹽泉,花蓮縣政府
348,1041201-1071130,香根園有限公司(吉祥溫泉),花蓮縣瑞穗鄉溫泉路三段35-10號,碳酸氫鹽泉,花蓮縣政府
349,1041201-1071130,紐澳華溫泉民宿,花蓮縣玉里鎮樂合里5鄰溫泉41-5號,氯化物硫酸鹽泉,花蓮縣政府
